show_id,type,title,title_Cleaned,director,director_Cleaned,cast,country,date_added,release_year,rating,duration,duration_minutes,duration_seasons,listed_in,description
s81,Movie,Show 81,Show 81,,,"Actor A, Actor B, Actor C",United States,01-09-2020,1999,PG-13,106 min,106,,Thriller,Sample description of the show
s82,TV Show,Show 82,Show 82,John Smith,John Smith,"Actor A, Actor B, Actor C",India,10-12-2017,1995,TV-PG,155 min,155,,Comedy,Sample description of the show
s83,TV Show,Show 83,Show 83,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",India,28-01-2022,2011,TV-14,145 min,145,,Thriller,Sample description of the show
s84,TV Show,Show 84,Show 84,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",Canada,06-09-2015,2019,PG-13,81 min,81,,Documentary,Sample description of the show
s85,TV Show,Show 85,Show 85,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",South Korea,09-02-2020,1988,,129 min,129,,Thriller,Sample description of the show
s86,Movie,Show 86,Show 86,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",India,04-12-2016,1987,G,149 min,149,,Action,Sample description of the show
s87,TV Show,Show 87,Show 87,  Steven   Spielberg  ,Steven Spielberg,,,21-10-2015,1989,R,178 min,178,,Horror,Sample description of the show
s88,Movie,Show 88,Show 88,John Smith,John Smith,"Actor A, Actor B, Actor C",United Kingdom,26-08-2020,1987,R,2 Seasons,,2,Comedy,Sample description of the show
s89,Movie,Show 89,Show 89,  Steven   Spielberg  ,Steven Spielberg,,United Kingdom,22-03-2016,2023,G,107 min,107,,Action,Sample description of the show
s90,Movie,Show 90,Show 90,John Smith,John Smith,"Actor A, Actor B, Actor C",,18-06-2018,2006,PG-13,169 min,169,,Documentary,Sample description of the show
s91,TV Show,Show 91,Show 91,,,"Actor A, Actor B, Actor C",United Kingdom,18-06-2017,2009,TV-MA,155 min,155,,Thriller,Sample description of the show
s92,Movie,Show 92,Show 92,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",India,16-01-2021,2010,TV-PG,146 min,146,,Comedy,Sample description of the show
s93,Movie,Show 93,Show 93,,,,South Korea,03-05-2019,1992,PG-13,130 min,130,,Romance,Sample description of the show
s94,TV Show,Show 94,Show 94,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",United Kingdom,17-02-2018,1980,PG-13,176 min,176,,Action,Sample description of the show
s95,Movie,Show 95,Show 95,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",,06-04-2021,1981,TV-PG,130 min,130,,Drama,Sample description of the show
s96,TV Show,Show 96,Show 96,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",United States,14-05-2017,2016,TV-MA,118 min,118,,Romance,Sample description of the show
s97,TV Show,Show 97,Show 97,Raj Malhotra,Raj Malhotra,,India,23-08-2020,1985,R,159 min,159,,Documentary,Sample description of the show
s98,TV Show,Show 98,Show 98,Chris Nolan,Chris Nolan,,United Kingdom,16-03-2019,2005,,3 Seasons,,3,Documentary,Sample description of the show
s99,Movie,Show 99,Show 99,John Smith,John Smith,"Actor A, Actor B, Actor C",Japan,24-05-2020,1996,TV-PG,5 Seasons,,5,Romance,Sample description of the show
s100,Movie,Show 100,Show 100,John Smith,John Smith,"Actor A, Actor B, Actor C",South Korea,23-01-2021,2022,TV-14,1 Seasons,,1,Romance,Sample description of the show
s101,TV Show,Show 101,Show 101,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",United States,05-02-2020,2000,TV-MA,173 min,173,,Romance,Sample description of the show
s102,TV Show,Show 102,Show 102,John Smith,John Smith,"Actor A, Actor B, Actor C",,20-10-2017,2013,PG,89 min,89,,Thriller,Sample description of the show
s103,Movie,Show 103,Show 103,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",South Korea,03-09-2016,1981,PG,146 min,146,,Thriller,Sample description of the show
s104,TV Show,Show 104,Show 104,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",,05-12-2022,2011,PG,127 min,127,,Documentary,Sample description of the show
s106,TV Show,Show 106,Show 106,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",South Korea,02-02-2016,2023,TV-14,180 min,180,,Romance,Sample description of the show
s107,TV Show,Show 107,Show 107,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",Canada,20-07-2019,1990,G,131 min,131,,Comedy,Sample description of the show
s108,TV Show,Show 108,Show 108,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",India,08-03-2019,1993,PG,96 min,96,,Documentary,Sample description of the show
s109,Movie,Show 109,Show 109,John Smith,John Smith,,Japan,02-05-2019,2001,,90 min,90,,Documentary,Sample description of the show
s110,TV Show,Show 110,Show 110,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",South Korea,26-09-2015,2012,TV-MA,137 min,137,,Comedy,Sample description of the show
s111,Movie,Show 111,Show 111,John Smith,John Smith,,United Kingdom,07-08-2022,1988,PG,132 min,132,,Thriller,Sample description of the show
s112,Movie,Show 112,Show 112,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",Canada,29-08-2015,1991,PG,8 Seasons,,8,Action,Sample description of the show
s113,TV Show,Show 113,Show 113,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",Canada,22-02-2021,1988,TV-14,146 min,146,,Documentary,Sample description of the show
s114,TV Show,Show 114,Show 114,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",South Korea,18-04-2019,1996,PG-13,168 min,168,,Thriller,Sample description of the show
s115,Movie,Show 115,Show 115,John Smith,John Smith,"Actor A, Actor B, Actor C",Canada,25-12-2015,1980,TV-MA,180 min,180,,Drama,Sample description of the show
s116,Movie,Show 116,Show 116,,,"Actor A, Actor B, Actor C",,12-10-2020,2003,TV-PG,138 min,138,,Drama,Sample description of the show
s117,TV Show,Show 117,Show 117,,,"Actor A, Actor B, Actor C",United Kingdom,04-08-2020,2006,TV-14,99 min,99,,Thriller,Sample description of the show
s118,TV Show,Show 118,Show 118,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",Canada,30-03-2015,1983,PG,162 min,162,,Thriller,Sample description of the show
s119,TV Show,Show 119,Show 119,John Smith,John Smith,"Actor A, Actor B, Actor C",India,,1999,PG-13,130 min,130,,Horror,Sample description of the show
s120,Movie,Show 120,Show 120,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",Canada,24-03-2020,1989,G,8 Seasons,,8,Romance,Sample description of the show
s121,TV Show,Show 121,Show 121,John Smith,John Smith,"Actor A, Actor B, Actor C",United States,21-08-2015,1995,TV-PG,5 Seasons,,5,Documentary,Sample description of the show
s122,Movie,Show 122,Show 122,Chris Nolan,Chris Nolan,,Canada,28-04-2015,2004,PG,109 min,109,,Documentary,Sample description of the show
s123,Movie,Show 123,Show 123,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",Canada,18-04-2017,2010,TV-14,4 Seasons,,4,Romance,Sample description of the show
s124,Movie,Show 124,Show 124,,,"Actor A, Actor B, Actor C",Japan,15-11-2017,1996,PG-13,113 min,113,,Horror,Sample description of the show
s125,Movie,Show 125,Show 125,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",India,24-09-2017,2007,G,112 min,112,,Horror,Sample description of the show
s126,Movie,Show 126,Show 126,John Smith,John Smith,"Actor A, Actor B, Actor C",Canada,26-08-2022,1980,TV-14,1 Seasons,,1,Documentary,Sample description of the show
s127,Movie,Show 127,Show 127,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",United States,27-05-2018,1994,TV-14,97 min,97,,Documentary,Sample description of the show
s128,TV Show,Show 128,Show 128,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",,08-11-2019,2010,TV-PG,129 min,129,,Action,Sample description of the show
s129,TV Show,Show 129,Show 129,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",India,07-01-2022,2012,TV-MA,137 min,137,,Romance,Sample description of the show
s130,TV Show,Show 130,Show 130,,,"Actor A, Actor B, Actor C",Canada,07-06-2016,1984,PG,81 min,81,,Drama,Sample description of the show
s131,Movie,Show 131,Show 131,,,"Actor A, Actor B, Actor C",United Kingdom,03-10-2016,2006,PG-13,122 min,122,,Thriller,Sample description of the show
s132,TV Show,Show 132,Show 132,John Smith,John Smith,"Actor A, Actor B, Actor C",,07-01-2019,2000,TV-MA,3 Seasons,,3,Drama,Sample description of the show
s133,TV Show,Show 133,Show 133,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",United Kingdom,21-08-2015,2007,PG-13,157 min,157,,Comedy,Sample description of the show
s134,Movie,Show 134,Show 134,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",Canada,19-07-2016,1997,TV-14,129 min,129,,Drama,Sample description of the show
s135,TV Show,Show 135,Show 135,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",South Korea,18-03-2015,1990,TV-14,97 min,97,,Action,Sample description of the show
s136,Movie,Show 136,Show 136,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",Canada,14-10-2020,1983,TV-MA,135 min,135,,Comedy,Sample description of the show
s137,TV Show,Show 137,Show 137,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",United Kingdom,29-03-2017,1981,,156 min,156,,Romance,Sample description of the show
s138,TV Show,Show 138,Show 138,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",,30-05-2021,2000,PG,8 Seasons,,8,Drama,Sample description of the show
s139,TV Show,Show 139,Show 139,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",India,18-03-2021,2007,PG-13,149 min,149,,Horror,Sample description of the show
s140,Movie,Show 140,Show 140,,,"Actor A, Actor B, Actor C",Canada,26-10-2021,2017,TV-PG,4 Seasons,,4,Documentary,Sample description of the show
s141,Movie,Show 141,Show 141,Raj Malhotra,Raj Malhotra,,Japan,22-07-2021,2020,TV-MA,155 min,155,,Documentary,Sample description of the show
s142,TV Show,Show 142,Show 142,John Smith,John Smith,"Actor A, Actor B, Actor C",United States,12-10-2022,1987,G,80 min,80,,Documentary,Sample description of the show
s145,TV Show,Show 145,Show 145,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",,25-11-2019,1987,PG-13,106 min,106,,Action,Sample description of the show
s146,TV Show,Show 146,Show 146,,,"Actor A, Actor B, Actor C",,10-10-2016,2005,PG,5 Seasons,,5,Horror,Sample description of the show
s147,Movie,SHOW 147,Show 147,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",,24-05-2021,1987,TV-14,120 min,120,,Action,Sample description of the show
s148,TV Show,Show 148,Show 148,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",,05-03-2022,2013,PG,132 min,132,,Thriller,Sample description of the show
s149,Movie,Show 149,Show 149,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",Canada,17-02-2017,1993,TV-PG,87 min,87,,Action,Sample description of the show
s150,TV Show,Show 150,Show 150,,,"Actor A, Actor B, Actor C",Japan,08-04-2022,1983,TV-PG,116 min,116,,Documentary,Sample description of the show
s151,TV Show,Show 151,Show 151,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",United States,03-06-2015,2005,G,1 Seasons,,1,Comedy,Sample description of the show
s152,TV Show,Show 152,Show 152,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",Japan,01-06-2016,2004,PG-13,1 Seasons,,1,Drama,Sample description of the show
s153,Movie,Show 153,Show 153,Raj Malhotra,Raj Malhotra,,India,01-10-2015,2017,TV-PG,94 min,94,,Thriller,Sample description of the show
s154,TV Show,Show 154,Show 154,John Smith,John Smith,"Actor A, Actor B, Actor C",South Korea,03-12-2021,1984,TV-14,146 min,146,,Documentary,Sample description of the show
s155,Movie,Show 155,Show 155,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",India,03-01-2016,1995,,129 min,129,,Documentary,Sample description of the show
s156,TV Show,Show 156,Show 156,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",India,04-10-2019,2022,,1 Seasons,,1,Romance,Sample description of the show
s157,TV Show,Show 157,Show 157,,,"Actor A, Actor B, Actor C",United States,08-05-2017,2001,PG,102 min,102,,Thriller,Sample description of the show
s158,Movie,Show 158,Show 158,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",United Kingdom,17-11-2017,2011,G,164 min,164,,Documentary,Sample description of the show
s159,TV Show,Show 159,Show 159,,,"Actor A, Actor B, Actor C",United Kingdom,24-10-2019,1995,,7 Seasons,,7,Action,Sample description of the show
s160,TV Show,Show 160,Show 160,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",South Korea,25-10-2022,1990,,125 min,125,,Comedy,Sample description of the show
s161,TV Show,Show 161,Show 161,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",South Korea,09-07-2017,2006,TV-14,104 min,104,,Comedy,Sample description of the show
s163,Movie,Show 163,Show 163,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",United States,29-07-2020,2003,G,110 min,110,,Romance,Sample description of the show
s165,TV Show,SHOW 165,Show 165,John Smith,John Smith,"Actor A, Actor B, Actor C",United Kingdom,07-06-2015,2009,PG-13,1 Seasons,,1,Horror,Sample description of the show
s167,TV Show,Show 167,Show 167,John Smith,John Smith,"Actor A, Actor B, Actor C",India,03-06-2020,2002,,6 Seasons,,6,Thriller,Sample description of the show
s168,Movie,Show 168,Show 168,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",India,31-05-2017,1997,R,160 min,160,,Comedy,Sample description of the show
s169,TV Show,Show 169,Show 169,John Smith,John Smith,"Actor A, Actor B, Actor C",India,03-12-2017,1997,G,164 min,164,,Documentary,Sample description of the show
s170,TV Show,Show 170,Show 170,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",Japan,06-07-2020,1981,TV-MA,122 min,122,,Drama,Sample description of the show
s171,TV Show,Show 171,Show 171,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",Japan,05-04-2020,2005,PG,116 min,116,,Drama,Sample description of the show
s172,TV Show,Show 172,Show 172,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",United Kingdom,27-05-2021,2020,TV-14,103 min,103,,Horror,Sample description of the show
s173,TV Show,Show 173,Show 173,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",Japan,07-02-2023,2015,TV-14,130 min,130,,Comedy,Sample description of the show
s174,Movie,Show 174,Show 174,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",South Korea,12-04-2021,2011,PG-13,140 min,140,,Horror,Sample description of the show
s175,TV Show,Show 175,Show 175,Chris Nolan,Chris Nolan,,South Korea,24-02-2021,2012,R,161 min,161,,Comedy,Sample description of the show
s176,TV Show,Show 176,Show 176,,,"Actor A, Actor B, Actor C",Japan,13-11-2020,1982,TV-14,134 min,134,,Comedy,Sample description of the show
s177,TV Show,Show 177,Show 177,Anita Desai,Anita Desai,,Japan,11-07-2016,1982,PG,174 min,174,,Romance,Sample description of the show
s178,Movie,Show 178,Show 178,,,"Actor A, Actor B, Actor C",India,30-12-2021,1988,TV-14,157 min,157,,Action,Sample description of the show
